node_index,node_id,node_type,node_name,node_source,node_classification
156,119,gene_protein,ADD2,NCBI,Gene
158,51255,gene_protein,RNF181,NCBI,Gene
162,1836,gene_protein,SLC26A2,NCBI,Gene
163,4000,gene_protein,LMNA,NCBI,Gene
165,64881,gene_protein,PCDH20,NCBI,Gene
168,1871,gene_protein,E2F3,NCBI,Gene
169,5080,gene_protein,PAX6,NCBI,Gene
170,1295,gene_protein,COL8A1,NCBI,Gene
172,4879,gene_protein,NPPB,NCBI,Gene
173,8766,gene_protein,RAB11A,NCBI,Gene
174,6688,gene_protein,SPI1,NCBI,Gene
176,5467,gene_protein,PPARD,NCBI,Gene
177,5728,gene_protein,PTEN,NCBI,Gene
178,2033,gene_protein,EP300,NCBI,Gene
179,3588,gene_protein,IL10RB,NCBI,Gene
181,5042,gene_protein,PABPC3,NCBI,Gene
182,932,gene_protein,MS4A3,NCBI,Gene
183,4778,gene_protein,NFE2,NCBI,Gene
184,6773,gene_protein,STAT2,NCBI,Gene
185,1477,gene_protein,CSTF1,NCBI,Gene
187,843,gene_protein,CASP10,NCBI,Gene
188,2495,gene_protein,FTH1,NCBI,Gene
192,2768,gene_protein,GNA12,NCBI,Gene
193,3671,gene_protein,ISLR,NCBI,Gene
195,3842,gene_protein,TNPO1,NCBI,Gene
196,1849,gene_protein,DUSP7,NCBI,Gene
198,5276,gene_protein,SERPINI2,NCBI,Gene
200,10488,gene_protein,CREB3,NCBI,Gene
201,1543,gene_protein,CYP1A1,NCBI,Gene
203,23601,gene_protein,CLEC5A,NCBI,Gene
204,1054,gene_protein,CEBPG,NCBI,Gene
205,7629,gene_protein,ZNF76,NCBI,Gene
207,4149,gene_protein,MAX,NCBI,Gene
208,2886,gene_protein,GRB7,NCBI,Gene
209,4627,gene_protein,MYH9,NCBI,Gene
211,4878,gene_protein,NPPA,NCBI,Gene
212,10559,gene_protein,SLC35A1,NCBI,Gene
213,3630,gene_protein,INS,NCBI,Gene
214,6464,gene_protein,SHC1,NCBI,Gene
215,7266,gene_protein,DNAJC7,NCBI,Gene
216,23385,gene_protein,NCSTN,NCBI,Gene
217,163059,gene_protein,ZNF433,NCBI,Gene
219,3398,gene_protein,ID2,NCBI,Gene
220,11162,gene_protein,NUDT6,NCBI,Gene
221,127002,gene_protein,ATXN7L2,NCBI,Gene
222,3615,gene_protein,IMPDH2,NCBI,Gene
223,4100,gene_protein,MAGEA1,NCBI,Gene
224,56935,gene_protein,SMCO4,NCBI,Gene
225,8525,gene_protein,DGKZ,NCBI,Gene
226,7307,gene_protein,U2AF1,NCBI,Gene
227,3554,gene_protein,IL1R1,NCBI,Gene
228,2041,gene_protein,EPHA1,NCBI,Gene
229,8087,gene_protein,FXR1,NCBI,Gene
231,6132,gene_protein,RPL8,NCBI,Gene
232,4591,gene_protein,TRIM37,NCBI,Gene
233,55075,gene_protein,UACA,NCBI,Gene
236,1029,gene_protein,CDKN2A,NCBI,Gene
237,5427,gene_protein,POLE2,NCBI,Gene
238,60,gene_protein,ACTB,NCBI,Gene
239,84330,gene_protein,ZNF414,NCBI,Gene
242,10142,gene_protein,AKAP9,NCBI,Gene
243,5145,gene_protein,PDE6A,NCBI,Gene
246,526,gene_protein,ATP6V1B2,NCBI,Gene
247,55030,gene_protein,FBXO34,NCBI,Gene
248,3727,gene_protein,JUND,NCBI,Gene
249,2896,gene_protein,GRN,NCBI,Gene
250,5364,gene_protein,PLXNB1,NCBI,Gene
251,890,gene_protein,CCNA2,NCBI,Gene
252,90957,gene_protein,DHX57,NCBI,Gene
253,323,gene_protein,APBB2,NCBI,Gene
254,85450,gene_protein,ITPRIP,NCBI,Gene
256,6628,gene_protein,SNRPB,NCBI,Gene
257,374395,gene_protein,TMEM179B,NCBI,Gene
258,9730,gene_protein,DCAF1,NCBI,Gene
259,29095,gene_protein,ORMDL2,NCBI,Gene
260,22894,gene_protein,DIS3,NCBI,Gene
265,81851,gene_protein,KRTAP1-1,NCBI,Gene
267,3241,gene_protein,HPCAL1,NCBI,Gene
269,904,gene_protein,CCNT1,NCBI,Gene
270,10009,gene_protein,ZBTB33,NCBI,Gene
271,54206,gene_protein,ERRFI1,NCBI,Gene
272,9632,gene_protein,SEC24C,NCBI,Gene
274,8464,gene_protein,SUPT3H,NCBI,Gene
275,339366,gene_protein,ADAMTSL5,NCBI,Gene
276,3909,gene_protein,LAMA3,NCBI,Gene
277,57511,gene_protein,COG6,NCBI,Gene
278,2040,gene_protein,STOM,NCBI,Gene
279,3172,gene_protein,HNF4A,NCBI,Gene
280,10277,gene_protein,UBE4B,NCBI,Gene
281,4543,gene_protein,MTNR1A,NCBI,Gene
282,3958,gene_protein,LGALS3,NCBI,Gene
283,158427,gene_protein,TSTD2,NCBI,Gene
284,51100,gene_protein,SH3GLB1,NCBI,Gene
285,1994,gene_protein,ELAVL1,NCBI,Gene
286,4929,gene_protein,NR4A2,NCBI,Gene
287,5087,gene_protein,PBX1,NCBI,Gene
288,2036,gene_protein,EPB41L1,NCBI,Gene
289,1207,gene_protein,CLNS1A,NCBI,Gene
291,5781,gene_protein,PTPN11,NCBI,Gene
295,56652,gene_protein,TWNK,NCBI,Gene
296,1857,gene_protein,DVL3,NCBI,Gene
297,8239,gene_protein,USP9X,NCBI,Gene
300,5305,gene_protein,PIP4K2A,NCBI,Gene
301,1457,gene_protein,CSNK2A1,NCBI,Gene
302,1783,gene_protein,DYNC1LI2,NCBI,Gene
304,4659,gene_protein,PPP1R12A,NCBI,Gene
305,23361,gene_protein,ZNF629,NCBI,Gene
306,29767,gene_protein,TMOD2,NCBI,Gene
307,3042,gene_protein,HBM,NCBI,Gene
309,5079,gene_protein,PAX5,NCBI,Gene
310,10576,gene_protein,CCT2,NCBI,Gene
311,5121,gene_protein,PCP4,NCBI,Gene
312,2634,gene_protein,GBP2,NCBI,Gene
314,580,gene_protein,BARD1,NCBI,Gene
315,1859,gene_protein,DYRK1A,NCBI,Gene
317,8454,gene_protein,CUL1,NCBI,Gene
318,51118,gene_protein,UTP11,NCBI,Gene
320,10202,gene_protein,DHRS2,NCBI,Gene
321,5020,gene_protein,OXT,NCBI,Gene
322,2101,gene_protein,ESRRA,NCBI,Gene
323,5991,gene_protein,RFX3,NCBI,Gene
324,51512,gene_protein,GTSE1,NCBI,Gene
325,2975,gene_protein,GTF3C1,NCBI,Gene
326,3725,gene_protein,JUN,NCBI,Gene
327,6187,gene_protein,RPS2,NCBI,Gene
328,25959,gene_protein,KANK2,NCBI,Gene
330,79364,gene_protein,ZXDC,NCBI,Gene
331,7111,gene_protein,TMOD1,NCBI,Gene
339,2175,gene_protein,FANCA,NCBI,Gene
340,84707,gene_protein,BEX2,NCBI,Gene
341,590,gene_protein,BCHE,NCBI,Gene
343,64763,gene_protein,ZNF574,NCBI,Gene
347,56898,gene_protein,BDH2,NCBI,Gene
348,57567,gene_protein,ZNF319,NCBI,Gene
349,6138,gene_protein,RPL15,NCBI,Gene
350,1051,gene_protein,CEBPB,NCBI,Gene
351,1745,gene_protein,DLX1,NCBI,Gene
353,83755,gene_protein,KRTAP4-12,NCBI,Gene
354,3134,gene_protein,HLA-F,NCBI,Gene
355,1952,gene_protein,CELSR2,NCBI,Gene
356,4665,gene_protein,NAB2,NCBI,Gene
358,4188,gene_protein,MDFI,NCBI,Gene
359,79142,gene_protein,PHF23,NCBI,Gene
360,26240,gene_protein,FAM50B,NCBI,Gene
362,7454,gene_protein,WAS,NCBI,Gene
365,84941,gene_protein,HSH2D,NCBI,Gene
366,26239,gene_protein,LCE2B,NCBI,Gene
370,3221,gene_protein,HOXC4,NCBI,Gene
371,25942,gene_protein,SIN3A,NCBI,Gene
373,4843,gene_protein,NOS2,NCBI,Gene
375,2099,gene_protein,ESR1,NCBI,Gene
376,29128,gene_protein,UHRF1,NCBI,Gene
377,4223,gene_protein,MEOX2,NCBI,Gene
380,84445,gene_protein,LZTS2,NCBI,Gene
381,3605,gene_protein,IL17A,NCBI,Gene
382,284355,gene_protein,TPRX1,NCBI,Gene
383,6134,gene_protein,RPL10,NCBI,Gene
384,10929,gene_protein,SRSF8,NCBI,Gene
385,5161,gene_protein,PDHA2,NCBI,Gene
386,353131,gene_protein,LCE1A,NCBI,Gene
387,58,gene_protein,ACTA1,NCBI,Gene
388,640,gene_protein,BLK,NCBI,Gene
389,1385,gene_protein,CREB1,NCBI,Gene
390,238,gene_protein,ALK,NCBI,Gene
391,593,gene_protein,BCKDHA,NCBI,Gene
392,9110,gene_protein,MTMR4,NCBI,Gene
393,2038,gene_protein,EPB42,NCBI,Gene
395,545,gene_protein,ATR,NCBI,Gene
396,9498,gene_protein,SLC4A8,NCBI,Gene
400,4170,gene_protein,MCL1,NCBI,Gene
401,83606,gene_protein,GUCD1,NCBI,Gene
402,780,gene_protein,DDR1,NCBI,Gene
403,65065,gene_protein,NBEAL1,NCBI,Gene
404,23555,gene_protein,TSPAN15,NCBI,Gene
406,898,gene_protein,CCNE1,NCBI,Gene
409,810,gene_protein,CALML3,NCBI,Gene
410,583,gene_protein,BBS2,NCBI,Gene
411,5612,gene_protein,THAP12,NCBI,Gene
412,6327,gene_protein,SCN2B,NCBI,Gene
413,5092,gene_protein,PCBD1,NCBI,Gene
415,5933,gene_protein,RBL1,NCBI,Gene
416,7009,gene_protein,TMBIM6,NCBI,Gene
418,5594,gene_protein,MAPK1,NCBI,Gene
419,83878,gene_protein,USHBP1,NCBI,Gene
420,2122,gene_protein,MECOM,NCBI,Gene
421,6720,gene_protein,SREBF1,NCBI,Gene
423,1327,gene_protein,COX4I1,NCBI,Gene
424,55143,gene_protein,CDCA8,NCBI,Gene
425,638,gene_protein,BIK,NCBI,Gene
426,4436,gene_protein,MSH2,NCBI,Gene
427,2275,gene_protein,FHL3,NCBI,Gene
433,63978,gene_protein,PRDM14,NCBI,Gene
434,10950,gene_protein,BTG3,NCBI,Gene
436,8702,gene_protein,B4GALT4,NCBI,Gene
438,7314,gene_protein,UBB,NCBI,Gene
440,973,gene_protein,CD79A,NCBI,Gene
442,122183,gene_protein,PRR20A,NCBI,Gene
443,1876,gene_protein,E2F6,NCBI,Gene
444,11170,gene_protein,FAM107A,NCBI,Gene
445,3298,gene_protein,HSF2,NCBI,Gene
447,2740,gene_protein,GLP1R,NCBI,Gene
448,6899,gene_protein,TBX1,NCBI,Gene
449,6935,gene_protein,ZEB1,NCBI,Gene
450,8611,gene_protein,PLPP1,NCBI,Gene
452,1312,gene_protein,COMT,NCBI,Gene
454,2624,gene_protein,GATA2,NCBI,Gene
455,1131,gene_protein,CHRM3,NCBI,Gene
456,2103,gene_protein,ESRRB,NCBI,Gene
457,1269,gene_protein,CNR2,NCBI,Gene
460,6657,gene_protein,SOX2,NCBI,Gene
462,161742,gene_protein,SPRED1,NCBI,Gene
465,25894,gene_protein,PLEKHG4,NCBI,Gene
467,2959,gene_protein,GTF2B,NCBI,Gene
468,120379,gene_protein,PIH1D2,NCBI,Gene
469,55110,gene_protein,MAGOHB,NCBI,Gene
470,6925,gene_protein,TCF4,NCBI,Gene
471,50863,gene_protein,NTM,NCBI,Gene
472,9801,gene_protein,MRPL19,NCBI,Gene
473,373,gene_protein,TRIM23,NCBI,Gene
474,51319,gene_protein,RSRC1,NCBI,Gene
476,2162,gene_protein,F13A1,NCBI,Gene
477,3561,gene_protein,IL2RG,NCBI,Gene
479,23379,gene_protein,ICE1,NCBI,Gene
481,57096,gene_protein,RPGRIP1,NCBI,Gene
482,8887,gene_protein,TAX1BP1,NCBI,Gene
483,54534,gene_protein,MRPL50,NCBI,Gene
484,5747,gene_protein,PTK2,NCBI,Gene
485,4043,gene_protein,LRPAP1,NCBI,Gene
486,5018,gene_protein,OXA1L,NCBI,Gene
487,149461,gene_protein,CLDN19,NCBI,Gene
489,857,gene_protein,CAV1,NCBI,Gene
491,10482,gene_protein,NXF1,NCBI,Gene
492,6597,gene_protein,SMARCA4,NCBI,Gene
493,2928,gene_protein,GSC2,NCBI,Gene
494,2193,gene_protein,FARSA,NCBI,Gene
496,37,gene_protein,ACADVL,NCBI,Gene
497,3091,gene_protein,HIF1A,NCBI,Gene
499,3656,gene_protein,IRAK2,NCBI,Gene
500,7376,gene_protein,NR1H2,NCBI,Gene
501,27031,gene_protein,NPHP3,NCBI,Gene
502,8648,gene_protein,NCOA1,NCBI,Gene
505,2735,gene_protein,GLI1,NCBI,Gene
506,3609,gene_protein,ILF3,NCBI,Gene
507,2355,gene_protein,FOSL2,NCBI,Gene
508,29950,gene_protein,SERTAD1,NCBI,Gene
509,2908,gene_protein,NR3C1,NCBI,Gene
510,3300,gene_protein,DNAJB2,NCBI,Gene
511,9659,gene_protein,PDE4DIP,NCBI,Gene
512,4673,gene_protein,NAP1L1,NCBI,Gene
513,22852,gene_protein,ANKRD26,NCBI,Gene
514,2804,gene_protein,GOLGB1,NCBI,Gene
515,602,gene_protein,BCL3,NCBI,Gene
517,79041,gene_protein,TMEM38A,NCBI,Gene
518,1454,gene_protein,CSNK1E,NCBI,Gene
519,3313,gene_protein,HSPA9,NCBI,Gene
521,57665,gene_protein,RDH14,NCBI,Gene
522,65057,gene_protein,ACD,NCBI,Gene
523,9911,gene_protein,TMCC2,NCBI,Gene
525,1962,gene_protein,EHHADH,NCBI,Gene
526,2566,gene_protein,GABRG2,NCBI,Gene
528,3215,gene_protein,HOXB5,NCBI,Gene
531,7528,gene_protein,YY1,NCBI,Gene
532,4988,gene_protein,OPRM1,NCBI,Gene
535,1736,gene_protein,DKC1,NCBI,Gene
536,599,gene_protein,BCL2L2,NCBI,Gene
537,29115,gene_protein,SAP30BP,NCBI,Gene
539,27076,gene_protein,LYPD3,NCBI,Gene
541,4175,gene_protein,MCM6,NCBI,Gene
543,6885,gene_protein,MAP3K7,NCBI,Gene
544,8928,gene_protein,FOXH1,NCBI,Gene
545,6840,gene_protein,SVIL,NCBI,Gene
546,1778,gene_protein,DYNC1H1,NCBI,Gene
547,4815,gene_protein,NINJ2,NCBI,Gene
550,10957,gene_protein,PNRC1,NCBI,Gene
551,10171,gene_protein,RCL1,NCBI,Gene
552,5165,gene_protein,PDK3,NCBI,Gene
554,672,gene_protein,BRCA1,NCBI,Gene
556,10460,gene_protein,TACC3,NCBI,Gene
557,54541,gene_protein,DDIT4,NCBI,Gene
558,4833,gene_protein,NME4,NCBI,Gene
559,54776,gene_protein,PPP1R12C,NCBI,Gene
560,5354,gene_protein,PLP1,NCBI,Gene
561,51655,gene_protein,RASD1,NCBI,Gene
562,9625,gene_protein,AATK,NCBI,Gene
563,79698,gene_protein,ZMAT4,NCBI,Gene
564,221656,gene_protein,KDM1B,NCBI,Gene
567,7332,gene_protein,UBE2L3,NCBI,Gene
569,8553,gene_protein,BHLHE40,NCBI,Gene
571,11007,gene_protein,CCDC85B,NCBI,Gene
573,4793,gene_protein,NFKBIB,NCBI,Gene
575,5089,gene_protein,PBX2,NCBI,Gene
576,11107,gene_protein,PRDM5,NCBI,Gene
577,5925,gene_protein,RB1,NCBI,Gene
578,6446,gene_protein,SGK1,NCBI,Gene
579,648,gene_protein,BMI1,NCBI,Gene
582,23126,gene_protein,POGZ,NCBI,Gene
583,3017,gene_protein,H2BC5,NCBI,Gene
584,353139,gene_protein,LCE2A,NCBI,Gene
585,1879,gene_protein,EBF1,NCBI,Gene
586,23673,gene_protein,STX12,NCBI,Gene
588,286075,gene_protein,ZNF707,NCBI,Gene
589,293,gene_protein,SLC25A6,NCBI,Gene
590,6208,gene_protein,RPS14,NCBI,Gene
593,1032,gene_protein,CDKN2D,NCBI,Gene
595,6886,gene_protein,TAL1,NCBI,Gene
598,10127,gene_protein,ZNF263,NCBI,Gene
599,8661,gene_protein,EIF3A,NCBI,Gene
600,84140,gene_protein,FAM161A,NCBI,Gene
601,25,gene_protein,ABL1,NCBI,Gene
602,51741,gene_protein,WWOX,NCBI,Gene
603,126410,gene_protein,CYP4F22,NCBI,Gene
605,7289,gene_protein,TULP3,NCBI,Gene
606,9320,gene_protein,TRIP12,NCBI,Gene
607,57168,gene_protein,ASPHD2,NCBI,Gene
612,55964,gene_protein,SEPTIN3,NCBI,Gene
617,6241,gene_protein,RRM2,NCBI,Gene
622,2997,gene_protein,GYS1,NCBI,Gene
623,89872,gene_protein,AQP10,NCBI,Gene
624,51545,gene_protein,ZNF581,NCBI,Gene
625,3575,gene_protein,IL7R,NCBI,Gene
626,26038,gene_protein,CHD5,NCBI,Gene
627,10787,gene_protein,NCKAP1,NCBI,Gene
629,8416,gene_protein,ANXA9,NCBI,Gene
631,11186,gene_protein,RASSF1,NCBI,Gene
632,3659,gene_protein,IRF1,NCBI,Gene
633,3660,gene_protein,IRF2,NCBI,Gene
634,131616,gene_protein,TMEM42,NCBI,Gene
638,5090,gene_protein,PBX3,NCBI,Gene
639,5791,gene_protein,PTPRE,NCBI,Gene
641,346,gene_protein,APOC4,NCBI,Gene
642,2706,gene_protein,GJB2,NCBI,Gene
644,5523,gene_protein,PPP2R3A,NCBI,Gene
647,8048,gene_protein,CSRP3,NCBI,Gene
650,9079,gene_protein,LDB2,NCBI,Gene
655,10426,gene_protein,TUBGCP3,NCBI,Gene
656,2774,gene_protein,GNAL,NCBI,Gene
657,1671,gene_protein,DEFA6,NCBI,Gene
658,25852,gene_protein,ARMC8,NCBI,Gene
659,9317,gene_protein,PTER,NCBI,Gene
660,6139,gene_protein,RPL17,NCBI,Gene
661,8908,gene_protein,GYG2,NCBI,Gene
662,5886,gene_protein,RAD23A,NCBI,Gene
663,5987,gene_protein,TRIM27,NCBI,Gene
666,2067,gene_protein,ERCC1,NCBI,Gene
667,2305,gene_protein,FOXM1,NCBI,Gene
668,2516,gene_protein,NR5A1,NCBI,Gene
669,10179,gene_protein,RBM7,NCBI,Gene
670,3895,gene_protein,KTN1,NCBI,Gene
671,23170,gene_protein,TTLL12,NCBI,Gene
672,4824,gene_protein,NKX3-1,NCBI,Gene
673,54947,gene_protein,LPCAT2,NCBI,Gene
675,8630,gene_protein,HSD17B6,NCBI,Gene
676,2185,gene_protein,PTK2B,NCBI,Gene
677,23412,gene_protein,COMMD3,NCBI,Gene
678,64129,gene_protein,TINAGL1,NCBI,Gene
679,9131,gene_protein,AIFM1,NCBI,Gene
680,2235,gene_protein,FECH,NCBI,Gene
682,6310,gene_protein,ATXN1,NCBI,Gene
683,3164,gene_protein,NR4A1,NCBI,Gene
685,83902,gene_protein,KRTAP17-1,NCBI,Gene
686,1154,gene_protein,CISH,NCBI,Gene
689,56104,gene_protein,PCDHGB1,NCBI,Gene
690,4800,gene_protein,NFYA,NCBI,Gene
692,5698,gene_protein,PSMB9,NCBI,Gene
693,8976,gene_protein,WASL,NCBI,Gene
694,905,gene_protein,CCNT2,NCBI,Gene
695,2074,gene_protein,ERCC6,NCBI,Gene
696,491,gene_protein,ATP2B2,NCBI,Gene
700,8974,gene_protein,P4HA2,NCBI,Gene
701,2801,gene_protein,GOLGA2,NCBI,Gene
702,5664,gene_protein,PSEN2,NCBI,Gene
703,6157,gene_protein,RPL27A,NCBI,Gene
706,5916,gene_protein,RARG,NCBI,Gene
707,1525,gene_protein,CXADR,NCBI,Gene
708,4286,gene_protein,MITF,NCBI,Gene
709,7037,gene_protein,TFRC,NCBI,Gene
712,353142,gene_protein,LCE3A,NCBI,Gene
714,7046,gene_protein,TGFBR1,NCBI,Gene
715,4629,gene_protein,MYH11,NCBI,Gene
716,1937,gene_protein,EEF1G,NCBI,Gene
717,6133,gene_protein,RPL9,NCBI,Gene
718,5795,gene_protein,PTPRJ,NCBI,Gene
719,3299,gene_protein,HSF4,NCBI,Gene
722,1967,gene_protein,EIF2B1,NCBI,Gene
724,622,gene_protein,BDH1,NCBI,Gene
725,26751,gene_protein,SH3YL1,NCBI,Gene
727,3052,gene_protein,HCCS,NCBI,Gene
728,9821,gene_protein,RB1CC1,NCBI,Gene
730,8831,gene_protein,SYNGAP1,NCBI,Gene
731,946,gene_protein,SIGLEC6,NCBI,Gene
732,7549,gene_protein,ZNF2,NCBI,Gene
735,3549,gene_protein,IHH,NCBI,Gene
736,64518,gene_protein,TEKT3,NCBI,Gene
737,64769,gene_protein,MEAF6,NCBI,Gene
740,5914,gene_protein,RARA,NCBI,Gene
742,4654,gene_protein,MYOD1,NCBI,Gene
743,5663,gene_protein,PSEN1,NCBI,Gene
745,506,gene_protein,ATP5F1B,NCBI,Gene
746,1108,gene_protein,CHD4,NCBI,Gene
747,192666,gene_protein,KRT24,NCBI,Gene
748,1109,gene_protein,AKR1C4,NCBI,Gene
749,7422,gene_protein,VEGFA,NCBI,Gene
751,10126,gene_protein,DNAL4,NCBI,Gene
753,23677,gene_protein,SH3BP4,NCBI,Gene
754,3476,gene_protein,IGBP1,NCBI,Gene
755,26268,gene_protein,FBXO9,NCBI,Gene
757,2232,gene_protein,FDXR,NCBI,Gene
758,1727,gene_protein,CYB5R3,NCBI,Gene
759,8890,gene_protein,EIF2B4,NCBI,Gene
760,5460,gene_protein,POU5F1,NCBI,Gene
762,57187,gene_protein,THOC2,NCBI,Gene
763,5601,gene_protein,MAPK9,NCBI,Gene
767,51027,gene_protein,BOLA1,NCBI,Gene
768,3188,gene_protein,HNRNPH2,NCBI,Gene
769,1499,gene_protein,CTNNB1,NCBI,Gene
774,1488,gene_protein,CTBP2,NCBI,Gene
776,114571,gene_protein,SLC22A9,NCBI,Gene
777,7566,gene_protein,ZNF18,NCBI,Gene
778,7572,gene_protein,ZNF24,NCBI,Gene
781,817,gene_protein,CAMK2D,NCBI,Gene
787,4628,gene_protein,MYH10,NCBI,Gene
791,1355,gene_protein,COX15,NCBI,Gene
792,1831,gene_protein,TSC22D3,NCBI,Gene
793,4201,gene_protein,MEA1,NCBI,Gene
794,7681,gene_protein,MKRN3,NCBI,Gene
796,10175,gene_protein,CNIH1,NCBI,Gene
798,23085,gene_protein,ERC1,NCBI,Gene
801,80196,gene_protein,RNF34,NCBI,Gene
803,6606,gene_protein,SMN1,NCBI,Gene
804,57666,gene_protein,FBRSL1,NCBI,Gene
805,1050,gene_protein,CEBPA,NCBI,Gene
808,5910,gene_protein,RAP1GDS1,NCBI,Gene
809,2972,gene_protein,BRF1,NCBI,Gene
810,80007,gene_protein,C10orf88,NCBI,Gene
812,79759,gene_protein,ZNF668,NCBI,Gene
813,1762,gene_protein,DMWD,NCBI,Gene
814,10253,gene_protein,SPRY2,NCBI,Gene
815,10640,gene_protein,EXOC5,NCBI,Gene
817,7368,gene_protein,UGT8,NCBI,Gene
818,9837,gene_protein,GINS1,NCBI,Gene
819,3799,gene_protein,KIF5B,NCBI,Gene
820,10569,gene_protein,SLU7,NCBI,Gene
822,2064,gene_protein,ERBB2,NCBI,Gene
824,10884,gene_protein,MRPS30,NCBI,Gene
826,1487,gene_protein,CTBP1,NCBI,Gene
828,10249,gene_protein,GLYAT,NCBI,Gene
829,10458,gene_protein,BAIAP2,NCBI,Gene
831,10808,gene_protein,HSPH1,NCBI,Gene
833,9855,gene_protein,FARP2,NCBI,Gene
